folder,filename,filer,doctype,filing_date,description,source_url,bytes,onedrive_url
01_Filings/10K,2026-03-09_CHRS_10K_EX-21-1.pdf,CHRS,EX-21.1,2026-03-09,EX-21.1,https://www.sec.gov/Archives/edgar/data/1512762/000110465926025308/chrs-20251231xex21d1.htm,54859,https://1drv.ms/b/c/8db6a5cc62b7ea10/IQCUz8vBP4jFQZXwUdpvOag_AUQX26M6Wk0ayt2KOk0oC10?e=yFm904
01_Filings/10K,2026-03-09_CHRS_10K_EX-23-1.pdf,CHRS,EX-23.1,2026-03-09,EX-23.1,https://www.sec.gov/Archives/edgar/data/1512762/000110465926025308/chrs-20251231xex23d1.htm,50596,https://1drv.ms/b/c/8db6a5cc62b7ea10/IQB_JsWtu95YQoSWj2wkHa1KAd0yRp-jmCxnUJ_a6NbNQ0E?e=2G7DEe
01_Filings/10K,2026-03-09_CHRS_10K_EX-31-1.pdf,CHRS,EX-31.1,2026-03-09,EX-31.1,https://www.sec.gov/Archives/edgar/data/1512762/000110465926025308/chrs-20251231xex31d1.htm,39870,https://1drv.ms/b/c/8db6a5cc62b7ea10/IQCCGYS8VYR2Rr76GC7qKE8IAT_XSAlT3zUJsWUDG1ErI2c?e=iWQ5nu
01_Filings/10K,2026-03-09_CHRS_10K_EX-31-2.pdf,CHRS,EX-31.2,2026-03-09,EX-31.2,https://www.sec.gov/Archives/edgar/data/1512762/000110465926025308/chrs-20251231xex31d2.htm,39423,https://1drv.ms/b/c/8db6a5cc62b7ea10/IQBX-uuRK2XKSaoSt1mddsimAduADM6Op2mq9raRhuTf2ns?e=YkcPUZ
01_Filings/10K,2026-03-09_CHRS_10K_EX-32-1.pdf,CHRS,EX-32.1,2026-03-09,EX-32.1,https://www.sec.gov/Archives/edgar/data/1512762/000110465926025308/chrs-20251231xex32d1.htm,47320,
01_Filings/10K,2026-03-09_CHRS_10K_FY2025.pdf,CHRS,10-K,2026-03-09,10-K,https://www.sec.gov/Archives/edgar/data/1512762/000110465926025308/chrs-20251231x10k.htm,1547003,https://1drv.ms/b/c/8db6a5cc62b7ea10/IQCPXnohYe18RbYwZV49TP0oAU8hPi1UBfIsH0J6Iu8c_FA?e=n8A6Bp
01_Filings/10K,2026-03-09_CHRS_10K_FY2025_EXHIBIT-INDEX.pdf,CHRS,EXHIBIT-INDEX,,Coherus FY2025 10-K Exhibit Index (filed 2026-03-09),https://www.sec.gov/Archives/edgar/data/1512762/000110465926025308/0001104659-26-025308-index.html,79549,https://1drv.ms/b/c/8db6a5cc62b7ea10/IQA99z7Fy37kT78j-4Po5FV2AZZQA4m4ggH6sf1FPu0JkxY?e=xINYxh
01_Filings/10Q,2023-11-06_CHRS_10Q_EX-10-1.pdf,CHRS,EX-10.1,2023-11-06,EX-10.1,https://www.sec.gov/Archives/edgar/data/1512762/000155837023017779/chrs-20230930xex10d1.htm,405668,
01_Filings/10Q,2023-11-06_CHRS_10Q_EX-10-2.pdf,CHRS,EX-10.2,2023-11-06,EX-10.2,https://www.sec.gov/Archives/edgar/data/1512762/000155837023017779/chrs-20230930xex10d2.htm,71959,https://1drv.ms/b/c/8db6a5cc62b7ea10/IQBtweLvQrK8Rre9XaxZjPL-AXh4T886ZlcSMJ8uhhmqrsM?e=y2EgZ6
01_Filings/10Q,2023-11-06_CHRS_10Q_EX-31-1.pdf,CHRS,EX-31.1,2023-11-06,EX-31.1,https://www.sec.gov/Archives/edgar/data/1512762/000155837023017779/chrs-20230930xex31d1.htm,40128,https://1drv.ms/b/c/8db6a5cc62b7ea10/IQCJ4hrbnuFyQ6fBNLoJMetrAVRAeTb1PsJ9caBKF9ia1NY?e=iPfwLp
01_Filings/10Q,2023-11-06_CHRS_10Q_EX-31-2.pdf,CHRS,EX-31.2,2023-11-06,EX-31.2,https://www.sec.gov/Archives/edgar/data/1512762/000155837023017779/chrs-20230930xex31d2.htm,39991,https://1drv.ms/b/c/8db6a5cc62b7ea10/IQDIx_ude6JKTLqSwTFcPA_jAYqVHwrMjeN6jTZ3Y-6O5_M?e=6Gv7zx
01_Filings/10Q,2023-11-06_CHRS_10Q_EX-32-1.pdf,CHRS,EX-32.1,2023-11-06,EX-32.1,https://www.sec.gov/Archives/edgar/data/1512762/000155837023017779/chrs-20230930xex32d1.htm,47478,https://1drv.ms/b/c/8db6a5cc62b7ea10/IQDAR29OQOEFTIJ9VQvlzcE4AZvhrTb_1LS9WNDf2VbEpck?e=TomXUd
01_Filings/10Q,2023-11-06_CHRS_10Q_Q3-2023.pdf,CHRS,10-Q,2023-11-06,10-Q,https://www.sec.gov/Archives/edgar/data/1512762/000155837023017779/chrs-20230930x10q.htm,1240525,https://1drv.ms/b/c/8db6a5cc62b7ea10/IQCnsIfcVGMwSL2Dv6tRIpnbAThfqJ7lLxZMmsrMjtGRsTU?e=T8HF9m
01_Filings/10Q,2024-05-09_CHRS_10Q_EX-10-2.pdf,CHRS,EX-10.2,2024-05-09,EX-10.2,https://www.sec.gov/Archives/edgar/data/1512762/000155837024007641/chrs-20240331xex10d2.htm,100198,https://1drv.ms/b/c/8db6a5cc62b7ea10/IQACv-I5rsfHRaipOvuVSjbeAULiB3UVhpelNB-kWCMTXOQ?e=5Y3ihs
01_Filings/10Q,2024-05-09_CHRS_10Q_EX-31-1.pdf,CHRS,EX-31.1,2024-05-09,EX-31.1,https://www.sec.gov/Archives/edgar/data/1512762/000155837024007641/chrs-20240331xex31d1.htm,39736,
01_Filings/10Q,2024-05-09_CHRS_10Q_EX-31-2.pdf,CHRS,EX-31.2,2024-05-09,EX-31.2,https://www.sec.gov/Archives/edgar/data/1512762/000155837024007641/chrs-20240331xex31d2.htm,39432,
01_Filings/10Q,2024-05-09_CHRS_10Q_EX-32-1.pdf,CHRS,EX-32.1,2024-05-09,EX-32.1,https://www.sec.gov/Archives/edgar/data/1512762/000155837024007641/chrs-20240331xex32d1.htm,47384,
01_Filings/10Q,2024-05-09_CHRS_10Q_Q1-2024.pdf,CHRS,10-Q,2024-05-09,10-Q,https://www.sec.gov/Archives/edgar/data/1512762/000155837024007641/chrs-20240331x10q.htm,1135408,
