period,period_type,metric,value,value_text,unit,source_id,notes
Q2 2024,Quarterly,NII per Share,0.4,,USD/share,BBDC_QUARTERLY_RELEASES,
Q3 2024,Quarterly,NII per Share,0.29,,USD/share,BBDC_QUARTERLY_RELEASES,
Q4 2024,Quarterly,NII per Share,0.28,,USD/share,BBDC_QUARTERLY_RELEASES,
Q1 2025,Quarterly,NII per Share,0.25,,USD/share,BBDC_QUARTERLY_RELEASES,
Q2 2025,Quarterly,NII per Share,0.28,,USD/share,BBDC_QUARTERLY_RELEASES,
Q3 2025,Quarterly,NII per Share,0.32,,USD/share,BBDC_QUARTERLY_RELEASES,
Q4 2025,Quarterly,NII per Share,0.27,,USD/share,BBDC_QUARTERLY_RELEASES,
Q1 2026,Quarterly,NII per Share,0.25,,USD/share,Q1_2026_10Q,
Q2 2024,Quarterly,Regular Dividend per Share,0.26,,USD/share,BBDC_QUARTERLY_RELEASES,
Q3 2024,Quarterly,Regular Dividend per Share,0.26,,USD/share,BBDC_QUARTERLY_RELEASES,
Q4 2024,Quarterly,Regular Dividend per Share,0.26,,USD/share,BBDC_QUARTERLY_RELEASES,
Q1 2025,Quarterly,Regular Dividend per Share,0.26,,USD/share,BBDC_QUARTERLY_RELEASES,
Q2 2025,Quarterly,Regular Dividend per Share,0.26,,USD/share,BBDC_QUARTERLY_RELEASES,
Q3 2025,Quarterly,Regular Dividend per Share,0.26,,USD/share,BBDC_QUARTERLY_RELEASES,
Q4 2025,Quarterly,Regular Dividend per Share,0.26,,USD/share,BBDC_QUARTERLY_RELEASES,
Q1 2026,Quarterly,Regular Dividend per Share,0.26,,USD/share,Q1_2026_10Q,
Q2 2024,Quarterly,Special Dividend per Share,0,,USD/share,BBDC_QUARTERLY_RELEASES,
Q3 2024,Quarterly,Special Dividend per Share,0,,USD/share,BBDC_QUARTERLY_RELEASES,
Q4 2024,Quarterly,Special Dividend per Share,0,,USD/share,BBDC_QUARTERLY_RELEASES,
Q1 2025,Quarterly,Special Dividend per Share,0.05,,USD/share,BBDC_QUARTERLY_RELEASES,
Q2 2025,Quarterly,Special Dividend per Share,0.05,,USD/share,BBDC_QUARTERLY_RELEASES,
Q3 2025,Quarterly,Special Dividend per Share,0.05,,USD/share,BBDC_QUARTERLY_RELEASES,
Q4 2025,Quarterly,Special Dividend per Share,0,,USD/share,BBDC_QUARTERLY_RELEASES,
Q1 2026,Quarterly,Special Dividend per Share,0,,USD/share,Q1_2026_10Q,
Q2 2024,Quarterly,Total Distributions per Share,0.26,,USD/share,BBDC_QUARTERLY_RELEASES,
Q3 2024,Quarterly,Total Distributions per Share,0.26,,USD/share,BBDC_QUARTERLY_RELEASES,
Q4 2024,Quarterly,Total Distributions per Share,0.26,,USD/share,BBDC_QUARTERLY_RELEASES,
Q1 2025,Quarterly,Total Distributions per Share,0.31,,USD/share,BBDC_QUARTERLY_RELEASES,
Q2 2025,Quarterly,Total Distributions per Share,0.31,,USD/share,BBDC_QUARTERLY_RELEASES,
Q3 2025,Quarterly,Total Distributions per Share,0.31,,USD/share,BBDC_QUARTERLY_RELEASES,
Q4 2025,Quarterly,Total Distributions per Share,0.26,,USD/share,BBDC_QUARTERLY_RELEASES,
Q1 2026,Quarterly,Total Distributions per Share,0.26,,USD/share,Q1_2026_10Q,
Q2 2024,Quarterly,Coverage of Regular Dividend,1.53846153846154,,x,BBDC_QUARTERLY_RELEASES,
Q3 2024,Quarterly,Coverage of Regular Dividend,1.11538461538462,,x,BBDC_QUARTERLY_RELEASES,
Q4 2024,Quarterly,Coverage of Regular Dividend,1.07692307692308,,x,BBDC_QUARTERLY_RELEASES,
Q1 2025,Quarterly,Coverage of Regular Dividend,0.961538461538462,,x,BBDC_QUARTERLY_RELEASES,
Q2 2025,Quarterly,Coverage of Regular Dividend,1.07692307692308,,x,BBDC_QUARTERLY_RELEASES,
Q3 2025,Quarterly,Coverage of Regular Dividend,1.23076923076923,,x,BBDC_QUARTERLY_RELEASES,
Q4 2025,Quarterly,Coverage of Regular Dividend,1.03846153846154,,x,BBDC_QUARTERLY_RELEASES,
Q1 2026,Quarterly,Coverage of Regular Dividend,0.961538461538462,,x,Q1_2026_10Q,
Q2 2024,Quarterly,Coverage of Total Distributions,1.53846153846154,,x,BBDC_QUARTERLY_RELEASES,
Q3 2024,Quarterly,Coverage of Total Distributions,1.11538461538462,,x,BBDC_QUARTERLY_RELEASES,
Q4 2024,Quarterly,Coverage of Total Distributions,1.07692307692308,,x,BBDC_QUARTERLY_RELEASES,
Q1 2025,Quarterly,Coverage of Total Distributions,0.806451612903226,,x,BBDC_QUARTERLY_RELEASES,
Q2 2025,Quarterly,Coverage of Total Distributions,0.903225806451613,,x,BBDC_QUARTERLY_RELEASES,
Q3 2025,Quarterly,Coverage of Total Distributions,1.03225806451613,,x,BBDC_QUARTERLY_RELEASES,
Q4 2025,Quarterly,Coverage of Total Distributions,1.03846153846154,,x,BBDC_QUARTERLY_RELEASES,
Q1 2026,Quarterly,Coverage of Total Distributions,0.961538461538462,,x,Q1_2026_10Q,
